Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.00017728987,5.364139e-05,-0.00014061976,7.1409384e-05,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5000,1000,1000.0,1000,0.0,0.9978619,-0.02257484,-0.9972264,0.63082135,0.9230769230769231,13,1.0,0.9230769230769231,0.0,0.2664693550105965,1.0,0.012,0.0,0.1088852607105296,20,2000,219,76.92307692307692,1,68.49869346138772,2000,0.003426573000069766,13.311823378001122,1.2779399300000023,0.3289537339999242,0.008848127999954158,11.687890989001176,0.004736134000040693,13.557927118001544,2.7889999955732492e-05,1.0,-0.0,-1.0045133,-1.9925992,-2.9168863,0.39234647,-1.9925014,2.704741,1.9430907,0.8534529,0.40832,0.0006797627,0.00015152892,-0.00053177925,0.00022823863,0.00034688687,-5.6387067e-05,-0.00048420514,0.00017497387,3.9417365,3.942554,1000,0.00023446312,2.30164e-05,-0.0001970661,0.00010287032,0.00051806855,-2.735044e-05,-0.0005573395,0.0003534798,1.0005182,0.99997276,0.9994428,0.00035345778
1,1,0.17895077,-0.028205156,-0.2106608,0.11602582,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10000,1000,1000.0,1000,0.0,0.99554485,-0.022396022,-0.99544543,0.6004017,0.5,2,1.0,0.5,0.0,0.5,1.0,0.001,0.0,0.03160696125855822,22,3000,988,500.0,12,488.0,3000,0.005291924000061954,12.841742394000562,0.938899226999979,0.3512571119999848,0.009244886999908886,11.531908740000631,0.005107393999992382,26.636048321005546,3.311000000394415e-05,0.7407253384590149,-1.516802191734314,-1.0486975,-2.053895,-3.0622072,0.28088173,-8.655226,8.520146,7.113512,6.258659,0.43213406,8.523254,7.152745,6.0648127,0.58255357,8.516421,7.1555314,6.060556,0.5852043,0.05386304,0.05487001,2000,0.17863624,-0.012660138,-0.21185878,0.09799436,-0.05942713,-0.1075896,-0.16140659,0.024822686,0.9423042,0.89827156,0.850946,0.022159534
2,2,0.47799715,0.05253201,-0.23455928,0.20253848,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15000,1000,1000.0,1000,0.0,0.9958132,-0.004454838,-0.9980662,0.60792494,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4000,1000,1000.0,1000,0.0,4000,0.0037298129999498997,13.301731052999799,0.9362085459999889,0.30316433400003007,0.01185892099999819,12.042277606999846,0.004470061999995778,40.22078948600506,2.17699999893739e-05,0.5493675470352173,-2.971480369567871,-0.6640105,-1.960838,-3.3139563,0.4637195,-13.29999,13.373486,12.28898,10.242764,0.7663248,13.552124,12.176706,9.556393,0.90768766,13.536244,12.174704,9.560652,0.907086,0.062270384,0.06275348,3000,0.4815385,-0.0172653,-0.40575138,0.19662084,-0.050552603,-0.10251671,-0.14548245,0.017044192,0.9507039,0.9026944,0.86460507,0.0154194515
3,3,0.6751824,0.30770606,-0.5908957,0.31959823,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20000,1000,1000.0,1000,0.0,0.99920744,0.062020533,-0.99892825,0.63859826,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,5000,1000,1000.0,1000,0.0,5000,0.003317613000035635,12.326303883999913,0.944890321999992,0.30499504499994146,0.009168424999984381,11.060504605999995,0.0034002129999635144,52.75790206000363,2.7660000000651053e-05,0.4089381992816925,-4.189296722412109,0.59929943,-1.6850119,-3.8546612,0.89106536,-17.368652,19.11071,16.424751,1.0,1.6179588,19.70439,16.594225,11.244335,1.6195271,19.654325,16.595657,11.276122,1.6190337,0.56866467,0.57083523,4000,0.7925241,-0.017073484,-0.7078142,0.3665401,0.008575873,-0.11670762,-0.2850243,0.05266712,1.0086128,0.891067,0.751996,0.046193607
4,4,0.80537957,0.10738534,-0.8455151,0.5344882,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,25000,1000,1000.0,1000,0.0,0.99504226,-0.34449866,-0.999187,0.5764011,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,6000,1000,1000.0,1000,0.0,6000,0.0033633619999591247,12.769700490997593,0.929662902999894,0.30515231599997605,0.00894114699997317,11.519088439997745,0.0034682729999531148,65.78162091200045,2.4050000092756818e-05,0.30568927526474,-5.314647197723389,1.113801,-1.4842304,-4.1412725,1.0493318,-20.240965,22.565643,19.485748,14.029295,1.6296818,23.497509,19.56908,13.386299,1.9688047,23.504488,19.571623,13.451008,1.9682971,0.20574147,0.20798945,5000,0.8770695,-0.13692285,-0.8562857,0.39442194,0.015788428,-0.09846503,-0.3444339,0.07920289,1.0159137,0.9089883,0.7086214,0.06881515
5,5,0.87583214,0.29554662,-0.8562923,0.42222208,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30000,1000,1000.0,1000,0.0,0.99841255,0.1633859,-0.9988108,0.6511371,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,7000,1000,1000.0,1000,0.0,7000,0.0034123929999623215,12.412724077000917,0.9377007330000424,0.32822772700001224,0.009777986000017336,11.130231225000898,0.003353352999965864,78.41830252400177,2.0660000018324354e-05,0.22917932271957397,-6.159583568572998,1.566596,-1.180948,-4.795079,1.1357329,-21.87619,24.970343,21.220467,1.0,2.1966078,26.054476,21.342781,13.735248,2.0630853,26.028404,21.3489,13.7632475,2.0635629,0.78112036,0.7845451,6000,0.8814742,-0.044193342,-0.89289105,0.46267772,0.104371734,-0.092381515,-0.40924484,0.11149411,1.110013,0.9172425,0.6641516,0.097145766
6,6,0.9033899,0.028580762,-0.8931877,0.40926677,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,35000,1000,1000.0,1000,0.0,0.99963397,-0.13975133,-0.99931437,0.6489527,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,8000,1000,1000.0,1000,0.0,8000,0.003368402999967657,12.925566880000588,0.9331401430000597,0.34350810599994475,0.00946303800003534,11.632617078000635,0.0034418620000451483,91.60364212200398,2.8249999900253897e-05,0.17176631093025208,-7.118304252624512,1.5550337,-1.0407709,-6.2771587,1.3327097,-22.651773,25.626425,22.09605,1.0,2.1867332,25.926636,22.217234,15.019753,1.9392291,25.980377,22.216625,15.045746,1.9363052,0.8632346,0.8648015,7000,0.9334297,-0.096175395,-0.9175234,0.48707423,0.15542208,-0.09171278,-0.49597633,0.14331529,1.1681509,0.9214988,0.60897607,0.12655695
7,7,0.44515052,-0.041511394,-0.914432,0.36543092,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,40000,1000,1000.0,1000,0.0,0.9982963,0.19931409,-0.9976572,0.6897561,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,9000,1000,1000.0,1000,0.0,9000,0.0033906429999888132,13.125159936998557,0.9504201450000664,0.35144919300000765,0.009536807000017689,11.806743874998574,0.003599383999926431,105.00120534400276,1.988999997593055e-05,0.12899981439113617,-8.02315616607666,1.8243575,-0.91766363,-3.9975054,1.2286779,-22.908066,26.156693,22.436176,1.0,2.8763006,26.592695,22.546392,14.852832,1.9721087,26.623491,22.536406,14.877814,1.9631793,2.6298597,2.6243584,8000,0.9379584,-0.038268,-0.9277531,0.5091453,0.16103768,-0.088040955,-0.5573219,0.16648582,1.1747292,0.92783976,0.57274085,0.14311142
8,8,0.9183631,-0.19542155,-0.9320272,0.4870283,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,45000,1000,1000.0,1000,0.0,0.9968884,-0.28852165,-0.9984443,0.64217055,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,10000,1000,1000.0,1000,0.0,10000,0.0033220330000176546,13.075140199001794,0.9622671160000209,0.3130986740000026,0.009560277999980826,11.783196145001853,0.003674642999953903,118.33846072700669,2.1309999965524185e-05,0.09736189246177673,-8.337339401245117,2.396233,-0.5793017,-6.5506153,1.474624,-23.421822,26.439533,23.03524,1.0,2.1840904,26.498213,23.14403,16.24566,1.8628668,26.479778,23.147144,16.288057,1.8673946,0.9900209,0.9995467,9000,0.96330696,-0.075019866,-0.9506521,0.55241144,0.14636666,-0.16238672,-0.66233635,0.17975311,1.1576205,0.86324596,0.5156452,0.1439546
9,9,0.9260636,0.03013284,-0.9423102,0.4658821,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,50000,1000,1000.0,1000,0.0,0.9960379,-0.21940185,-0.99579495,0.6023918,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,11000,1000,1000.0,1000,0.0,11000,0.00503231400000459,12.302378373999773,0.940847238999936,0.29239974600000096,0.009052708000012899,11.051405354999815,0.0036212320000004183,130.87823090500422,1.9780000002356246e-05,0.07311814278364182,-9.82411003112793,2.1094532,-0.755855,-5.7249036,1.2704883,-23.390635,25.906834,23.01818,1.0,2.5590196,26.050022,23.147049,15.570241,1.8494774,26.014187,23.140427,15.442228,1.8519738,1.710396,1.6870365,10000,0.96210957,-0.08199649,-0.9369445,0.5293019,0.18066362,-0.23987257,-1.0005978,0.24209166,1.1980121,0.8091736,0.36765957,0.18527138
10,10,0.93091595,-0.031707406,-0.95822203,0.48709452,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,55000,1000,1000.0,1000,0.0,0.993988,-0.25880352,-0.99944925,0.5626084,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,12000,1000,1000.0,1000,0.0,12000,0.0033551919999581514,12.640625974998443,0.9838639920000105,0.3408333739999989,0.009021057999916593,11.300244166998482,0.003288262000069153,143.76861718300165,1.9930000007661874e-05,0.05519119277596474,-10.24605941772461,2.9466467,-0.5368414,-4.8942585,1.4902294,-23.217838,25.78091,23.152931,16.695131,1.6145953,25.693722,23.069637,16.200106,1.6697142,25.644735,23.078995,16.211369,1.6691229,0.05157185,0.04915568,11000,0.9657288,-0.18341237,-0.96520084,0.5219314,0.21682864,-0.30145082,-1.2327896,0.33041045,1.2421312,0.77793473,0.29147834,0.22916985
11,11,0.9257564,-0.30311543,-0.94321245,0.48555028,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,60000,1000,1000.0,1000,0.0,0.9988648,0.2019928,-0.99935037,0.6883614,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,13000,1000,1000.0,1000,0.0,13000,0.0035953729999391726,12.624242633999302,0.935300813999902,0.3192937170000505,0.009140405000039209,11.353568372999348,0.003324261999978262,156.64299605500162,1.9690000044647604e-05,0.04146261513233185,-10.547442436218262,4.3722806,-0.3137184,-5.082333,1.4768792,-22.953215,25.41569,22.727238,17.426558,1.3605033,25.584015,22.793776,17.394413,1.4602209,25.564653,22.78735,17.312023,1.457355,0.059929185,0.05925637,12000,0.9867617,-0.1237149,-0.95791245,0.5521006,0.23246354,-0.3471389,-1.316151,0.35848373,1.2617044,0.74962926,0.26816547,0.2395377
12,12,0.92897326,0.1256629,-0.95162964,0.48103458,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,65000,1000,1000.0,1000,0.0,0.999623,0.22656627,-0.99854726,0.61834276,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,14000,1000,1000.0,1000,0.0,14000,0.0033141630000272926,12.521555198001579,0.9400888599999462,0.33811904200001663,0.009164858000076492,11.227515912001536,0.003332783000018935,169.3969314640043,1.9579999957386462e-05,0.031324602663517,-10.092975616455078,4.6372094,0.08577813,-6.141577,1.7539846,-22.219208,24.987947,22.220509,16.122198,1.3776054,24.811977,22.096413,15.806432,1.4272289,24.742643,22.106098,15.9086275,1.4236858,0.06326544,0.056267694,13000,0.976724,-0.09323796,-0.9806357,0.6187696,0.28127888,-0.41405606,-1.4688808,0.40310675,1.324823,0.71183014,0.23018298,0.2551674
